label,source_page,2022,2021,2020
Consolidated Statements of Operations for the years ended September,30,2023.0,2022.0,
September,30,2021.0,,
Consolidated Statements of Comprehensive Income for the years ended September,30,2023.0,,
Consolidated Balance Sheets as of September,30,2023.0,2022.0,
Consolidated Statements of Shareholders,30,2023.0,2022.0,
and September,30,2021.0,,
Consolidated Statements of Cash Flows for the years ended September,30,2023.0,2022.0,
September,30,2021.0,,
Apple Inc,30,2023.0,,
Products,31,298085.0,316199.0,297392.0
Services,31,85200.0,78129.0,68425.0
Total net sales,31,383285.0,394328.0,365817.0
Products,31,189282.0,201471.0,192266.0
Services,31,24855.0,22075.0,20715.0
Total cost of sales,31,214137.0,223546.0,212981.0
Gross margin,31,169148.0,170782.0,152836.0
Research and development,31,29915.0,26251.0,21914.0
"Selling, general and administrative",31,24932.0,25094.0,21973.0
Total operating expenses,31,54847.0,51345.0,43887.0
Operating income,31,114301.0,119437.0,108949.0
Income before provision for income taxes,31,113736.0,119103.0,109207.0
Provision for income taxes,31,16741.0,19300.0,14527.0
Net income,31,96995.0,99803.0,94680.0
Basic,31,15744231.0,16215963.0,16701272.0
Diluted,31,15812547.0,16325819.0,16864919.0
Apple Inc,31,2023.0,,
Cash and cash equivalents,33,29965.0,23646.0,
Marketable securities,33,31590.0,24658.0,
"Accounts receivable, net",33,29508.0,28184.0,
Vendor non-trade receivables,33,31477.0,32748.0,
Inventories,33,6331.0,4946.0,
Other current assets,33,14695.0,21223.0,
Total current assets,33,143566.0,135405.0,
Marketable securities,33,100544.0,120805.0,
"Property, plant and equipment, net",33,43715.0,42117.0,
Other non-current assets,33,64758.0,54428.0,
Total non-current assets,33,209017.0,217350.0,
Total assets,33,352583.0,352755.0,
Accounts payable,33,62611.0,64115.0,
Other current liabilities,33,58829.0,60845.0,
Deferred revenue,33,8061.0,7912.0,
Commercial paper,33,5985.0,9982.0,
Term debt,33,9822.0,11128.0,
Total current liabilities,33,145308.0,153982.0,
Term debt,33,95281.0,98959.0,
Other non-current liabilities,33,49848.0,49142.0,
Total non-current liabilities,33,145129.0,148101.0,
Total liabilities,33,290437.0,302083.0,
Common stock and additional paid-in capital,33,50400000.0,,
authorized,33,15550061.0,15943425.0,73812.0
Accumulated deficit (,33,-214.0,-3068.0,
Accumulated other comprehensive loss (,33,-11452.0,-11109.0,
Total shareholders,33,62146.0,50672.0,
Total liabilities and shareholders,33,352583.0,352755.0,
Apple Inc,33,2023.0,,
Statements of Operations for,49,2023.0,2022.0,2021.0
Share-based compensation expense,49,10833.0,9038.0,7906.0
Income tax benefit related to share-based compensation expense,49,-3421.0,-4002.0,-4056.0
As of September,49,2023.0,,
unconditional purchase obligations with a remaining term in excess of one year as of September,49,2023.0,,
Thereafter,49,3215.0,,
Total,49,20736.0,,
Apple Inc,49,2023.0,,
We have audited the accompanying consolidated balance sheets of Apple Inc. as of September,52,2023.0,,
the three years in the period ended September,52,2023.0,,
September,52,2023.0,2022.0,
the period ended September,52,2023.0,,
As of September,52,2023.0,,
Apple Inc,52,2023.0,,
Consolidated Statements of Operations for the years ended September,57,2023.0,2022.0,
September,57,2021.0,,
Consolidated Statements of Comprehensive Income for the years ended September,57,2023.0,,
Consolidated Balance Sheets as of September,57,2023.0,2022.0,
Consolidated Statements of Shareholders,57,2023.0,2022.0,
and September,57,2021.0,,
Consolidated Statements of Cash Flows for the years ended September,57,2023.0,2022.0,
September,57,2021.0,,
global notes representing the Floating Rate Notes due,57,2016.0,,
Notes due,57,2018.0,2016.0,2018.0
due,57,2023.0,2043.0,
global notes representing the Floating Rate Notes due,57,2017.0,,
Notes due,57,2019.0,2017.0,2019.0
due,57,2021.0,2024.0,2044.0
forms of global notes representing the,57,2022.0,625.0,
Notes due,57,2026.0,,
forms of global notes representing the Floating Rate Notes due,57,2020.0,,
Notes due,57,2020.0,2022.0,2025.0
Notes due,57,2045.0,,
of global notes representing the Floating Rate Notes due,57,2017.0,,
Notes due,57,2020.0,900.0,2017.0
Notes due,57,2022.0,200.0,2025.0
of global notes representing the,57,2029.0,,
forms of global notes representing the,57,375.0,2024.0,
Notes due,57,2027.0,,
Apple Inc,57,2023.0,,
