page,metric_name,2023,2022,2021,raw_label,raw_values
3,principal accountant fees and services,53.0,54.0,57.0,Principal Accountant Fees and Services,"[53.0, 54.0, 57.0]"
24,total net sales,383285.0,394328.0,365817.0,Total net sales,"[383285.0, 394328.0, 365817.0]"
25,iphone (1),200583.0,205489.0,191973.0,iPhone (1),"[200583.0, 205489.0, 191973.0]"
25,mac (1),29357.0,40177.0,35190.0,Mac (1),"[29357.0, 40177.0, 35190.0]"
25,ipad (1),28300.0,29292.0,31862.0,iPad (1),"[28300.0, 29292.0, 31862.0]"
25,"wearables, home and accessories (1)",39845.0,41241.0,38367.0,"Wearables, Home and Accessories (1)","[39845.0, 41241.0, 38367.0]"
25,services (2),85200.0,78129.0,68425.0,Services (2),"[85200.0, 78129.0, 68425.0]"
25,total net sales,383285.0,394328.0,365817.0,Total net sales,"[383285.0, 394328.0, 365817.0]"
26,gross margin:,108803.0,114728.0,105126.0,Gross margin:,"[108803.0, 114728.0, 105126.0]"
26,products,108803.0,114728.0,105126.0,Products,"[108803.0, 114728.0, 105126.0]"
26,services,60345.0,56054.0,47710.0,Services,"[60345.0, 56054.0, 47710.0]"
26,total gross margin,169148.0,170782.0,152836.0,Total gross margin,"[169148.0, 170782.0, 152836.0]"
26,research and development,29915.0,26251.0,21914.0,Research and development,"[29915.0, 26251.0, 21914.0]"
26,percentage of total net sales,24932.0,25094.0,21973.0,Percentage of total net sales,"[24932.0, 25094.0, 21973.0]"
26,"selling, general and administrative",24932.0,25094.0,21973.0,"Selling, general and administrative","[24932.0, 25094.0, 21973.0]"
26,percentage of total net sales,54847.0,51345.0,43887.0,Percentage of total net sales,"[54847.0, 51345.0, 43887.0]"
26,total operating expenses,54847.0,51345.0,43887.0,Total operating expenses,"[54847.0, 51345.0, 43887.0]"
27,provision for income taxes,16741.0,19300.0,14527.0,Provision for income taxes,"[16741.0, 19300.0, 14527.0]"
31,products,298085.0,316199.0,297392.0,Products,"[298085.0, 316199.0, 297392.0]"
31,services,85200.0,78129.0,68425.0,Services,"[85200.0, 78129.0, 68425.0]"
31,total net sales,383285.0,394328.0,365817.0,Total net sales,"[383285.0, 394328.0, 365817.0]"
31,products,189282.0,201471.0,192266.0,Products,"[189282.0, 201471.0, 192266.0]"
31,services,24855.0,22075.0,20715.0,Services,"[24855.0, 22075.0, 20715.0]"
31,total cost of sales,214137.0,223546.0,212981.0,Total cost of sales,"[214137.0, 223546.0, 212981.0]"
31,gross margin,169148.0,170782.0,152836.0,Gross margin,"[169148.0, 170782.0, 152836.0]"
31,research and development,29915.0,26251.0,21914.0,Research and development,"[29915.0, 26251.0, 21914.0]"
31,"selling, general and administrative",24932.0,25094.0,21973.0,"Selling, general and administrative","[24932.0, 25094.0, 21973.0]"
31,total operating expenses,54847.0,51345.0,43887.0,Total operating expenses,"[54847.0, 51345.0, 43887.0]"
31,operating income,114301.0,119437.0,108949.0,Operating income,"[114301.0, 119437.0, 108949.0]"
31,income before provision for income taxes,113736.0,119103.0,109207.0,Income before provision for income taxes,"[113736.0, 119103.0, 109207.0]"
