label,source_page,2023,2022,2021
Year Ended June,58,2023.0,2022.0,2021.0
Product,58,64699.0,72732.0,71074.0
Service and other,58,147216.0,125538.0,97014.0
Total revenue,58,211915.0,198270.0,168088.0
Product,58,17804.0,19064.0,18219.0
Service and other,58,48059.0,43586.0,34013.0
Total cost of revenue,58,65863.0,62650.0,52232.0
Gross margin,58,146052.0,135620.0,115856.0
Research and development,58,27195.0,24512.0,20716.0
Sales and marketing,58,22759.0,21825.0,20117.0
General and administrative,58,7575.0,5900.0,5107.0
Operating income,58,88523.0,83383.0,69916.0
"Other income, net",58,788.0,333.0,1186.0
Income before income taxes,58,89311.0,83716.0,71102.0
Provision for income taxes,58,16950.0,10978.0,9831.0
Net income,58,72361.0,72738.0,61271.0
Basic,58,7446.0,7496.0,7547.0
Diluted,58,7472.0,7540.0,7608.0
Year Ended June,59,2023.0,2022.0,2021.0
Net income,59,72361.0,72738.0,61271.0
Net change related to investments (,59,-1444.0,-5360.0,-2266.0
Translation adjustments and other (,59,-207.0,-1146.0,873.0
Other comprehensive loss (,59,-1665.0,-6500.0,-1374.0
Comprehensive income,59,70696.0,66238.0,59897.0
June,60,2023.0,2022.0,
Cash and cash equivalents,60,34704.0,13931.0,
Short-term investments,60,76558.0,90826.0,
"Total cash, cash equivalents, and short-term investments",60,111262.0,104757.0,
"Accounts receivable, net of allowance for doubtful accounts of",60,650.0,633.0,48688.0
Inventories,60,2500.0,3742.0,
Other current assets,60,21807.0,16924.0,
Total current assets,60,184257.0,169684.0,
"Property and equipment, net of accumulated depreciation of",60,68251.0,59660.0,95641.0
Operating lease right-of-use assets,60,14346.0,13148.0,
Equity investments,60,9879.0,6891.0,
Goodwill,60,67886.0,67524.0,
"Intangible assets, net",60,9366.0,11298.0,
Other long-term assets,60,30601.0,21897.0,
Total assets,60,411976.0,364840.0,
Accounts payable,60,18095.0,19000.0,
Current portion of long-term debt,60,5247.0,2749.0,
Accrued compensation,60,11009.0,10661.0,
Short-term income taxes,60,4152.0,4067.0,
Short-term unearned revenue,60,50901.0,45538.0,
Other current liabilities,60,14745.0,13067.0,
Total current liabilities,60,104149.0,95082.0,
Long-term debt,60,41990.0,47032.0,
Long-term income taxes,60,25560.0,26069.0,
Long-term unearned revenue,60,2912.0,2870.0,
Operating lease liabilities,60,12728.0,11489.0,
Other long-term liabilities,60,17981.0,15526.0,
Total liabilities,60,205753.0,198298.0,
Common stock and paid-in capital – shares authorized,60,24000.0,7432.0,7464.0
Retained earnings,60,118848.0,84281.0,
Accumulated other comprehensive loss (,60,-6343.0,-4678.0,
Total stockholders,60,206223.0,166542.0,
Total liabilities and stockholders,60,411976.0,364840.0,
June,87,2023.0,2022.0,
Operating lease right-of-use assets,87,14346.0,13148.0,
Other current liabilities,87,2409.0,2228.0,
Operating lease liabilities,87,12728.0,11489.0,
Total operating lease liabilities,87,15137.0,13717.0,
"Property and equipment, at cost",87,20538.0,17388.0,
Accumulated depreciation (,87,-4647.0,-3285.0,
"Property and equipment, net",87,15891.0,14103.0,
Other current liabilities,87,1197.0,1060.0,
Other long-term liabilities,87,15870.0,13842.0,
Total finance lease liabilities,87,17067.0,14902.0,
The following table outlines maturities of our lease liabilities as of June,87,2023.0,,
Thereafter,87,6327.0,11462.0,
Total lease payments,87,17100.0,20634.0,
Less imputed interest (,87,-1963.0,-3567.0,
Total,87,15137.0,17067.0,
As of June,87,2023.0,,
"billion, respectively. These operating and finance leases will commence between fiscal year",87,2024.0,2030.0,
We have audited the accompanying consolidated balance sheets of Microsoft Corporation and subsidiaries (the,96,2023.0,,
and,96,2022.0,,
years in the period ended June,96,2023.0,,
"statements present fairly, in all material respects, the financial position of the Company as of June",96,2023.0,2022.0,
operations and its cash flows for each of the three years in the period ended June,96,2023.0,,
Company's internal control over financial reporting as of June,96,2023.0,,
