label,source_page,2023,2022,2021
Revenue,54,26974.0,26914.0,16675.0
Cost of revenue,54,11618.0,9439.0,6279.0
Gross profit,54,15356.0,17475.0,10396.0
Research and development,54,7339.0,5268.0,3924.0
"Sales, general and administrative",54,2440.0,2166.0,1940.0
Acquisition termination cost,54,1353.0,,
Total operating expenses,54,11132.0,7434.0,5864.0
Income from operations,54,4224.0,10041.0,4532.0
Income before income tax,54,4181.0,9941.0,4409.0
Net income,54,4368.0,9752.0,4332.0
Basic,54,2487.0,2496.0,2467.0
Diluted,54,2507.0,2535.0,2510.0
Cash and cash equivalents,56,3389.0,1990.0,
Marketable securities,56,9907.0,19218.0,
"Accounts receivable, net",56,3827.0,4650.0,
Inventories,56,5159.0,2605.0,
Total current assets,56,23073.0,28829.0,
"Property and equipment, net",56,3807.0,2778.0,
Operating lease assets,56,1038.0,829.0,
Goodwill,56,4372.0,4349.0,
"Intangible assets, net",56,1676.0,2339.0,
Deferred income tax assets,56,3396.0,1222.0,
Other assets,56,3820.0,3841.0,
Accounts payable,56,1193.0,1783.0,
Accrued and other current liabilities,56,4120.0,2552.0,
Short-term debt,56,1250.0,,
Total current liabilities,56,6563.0,4335.0,
Long-term debt,56,9703.0,10946.0,
Total liabilities,56,19081.0,17575.0,
Common stock,56,8000.0,2466.0,
as of January,56,2023.0,2506.0,2022.0
Additional paid-in capital,56,11971.0,10385.0,
Retained earnings,56,10171.0,16235.0,
Total shareholders' equity,56,22101.0,26612.0,
Total liabilities and shareholders' equity,56,41182.0,44187.0,
