label,source_page,2022,2021,2020
Cash and cash equivalents,48,16253.0,17576.0,
Short-term investments,48,5932.0,131.0,
"Accounts receivable, net",48,2952.0,1913.0,
Inventory,48,12839.0,5757.0,
Prepaid expenses and other current assets,48,2941.0,1723.0,
Total current assets,48,40917.0,27100.0,
"Operating lease vehicles, net",48,5035.0,4511.0,
"Solar energy systems, net",48,5489.0,5765.0,
"Property, plant and equipment, net",48,23548.0,18884.0,
Operating lease right-of-use assets,48,2563.0,2016.0,
"Digital assets, net",48,184.0,1260.0,
Other non-current assets,48,4193.0,2138.0,
Total assets,48,82338.0,62131.0,
Accounts payable,48,15255.0,10025.0,
Accrued liabilities and other,48,7142.0,5719.0,
Deferred revenue,48,1747.0,1447.0,
Customer deposits,48,1063.0,925.0,
Current portion of debt and finance leases,48,1502.0,1589.0,
Total current liabilities,48,26709.0,19705.0,
"Debt and finance leases, net of current portion",48,1597.0,5245.0,
"Deferred revenue, net of current portion",48,2804.0,2052.0,
Other long-term liabilities,48,5330.0,3546.0,
Total liabilities,48,36440.0,30548.0,
Common stock,48,6000.0,,
December,48,2022.0,2021.0,
Additional paid-in capital,48,32177.0,29803.0,
Retained earnings (,48,12885.0,329.0,
Total stockholders,48,44704.0,30189.0,
Total liabilities and equity,48,82338.0,62131.0,
Automotive sales,49,67210.0,44125.0,24604.0
Automotive regulatory credits,49,1776.0,1465.0,1580.0
Automotive leasing,49,2476.0,1642.0,1052.0
Total automotive revenues,49,71462.0,47232.0,27236.0
Energy generation and storage,49,3909.0,2789.0,1994.0
Services and other,49,6091.0,3802.0,2306.0
Total revenues,49,81462.0,53823.0,31536.0
Automotive sales,49,49599.0,32415.0,19696.0
Automotive leasing,49,1509.0,978.0,563.0
Total automotive cost of revenues,49,51108.0,33393.0,20259.0
Energy generation and storage,49,3621.0,2918.0,1976.0
Services and other,49,5880.0,3906.0,2671.0
Total cost of revenues,49,60609.0,40217.0,24906.0
Gross profit,49,20853.0,13606.0,6630.0
Research and development,49,3075.0,2593.0,1491.0
"Selling, general and administrative",49,3946.0,4517.0,3145.0
Total operating expenses,49,7197.0,7083.0,4636.0
Income from operations,49,13656.0,6523.0,1994.0
Income before income taxes,49,13719.0,6343.0,1154.0
Provision for income taxes,49,1132.0,699.0,292.0
Net income,49,12587.0,5644.0,862.0
Net income attributable to common stockholders,49,12556.0,5519.0,721.0
Basic,49,3130.0,2959.0,2798.0
Diluted,49,3475.0,3386.0,3249.0
Stock-based compensation under the,80,2018.0,,
administrative operating expense in our consolidated statements of operations. In each quarter since the grant of the,80,2018.0,,
During the first quarter of,80,2022.0,,
As of December,80,2022.0,2018.0,
recognized. For the years ended December,80,2022.0,2021.0,2020.0
During the fourth quarter of,80,2021.0,,
RSUs and stock options to purchase an aggregate,80,2022.0,,
occurs over a two-year period with continued employment. As of December,80,2022.0,204.0,
"million, which will be recognized over a weighted-average period of",80,2022.0,159.0,
"Selling, general and administrative",80,430.0,1252.0,1107.0
Total,80,1560.0,2121.0,1734.0
cumulative losses and valuation allowances. During the years ended December,80,2022.0,2021.0,2020.0
to our consolidated balance sheets was,80,245.0,182.0,2022.0
